X,Y,R,G,B
0,0,41,119,86
1,0,41,126,93
2,0,41,130,89
3,0,39,133,88
4,0,40,138,84
5,0,42,138,78
6,0,43,138,83
7,0,44,139,87
8,0,47,136,93
9,0,48,134,91
10,0,49,134,89
11,0,50,137,92
12,0,50,134,95
13,0,50,135,91
14,0,51,133,89
15,0,53,132,91
16,0,49,134,91
17,0,50,129,93
18,0,54,130,96
19,0,55,131,101
20,0,60,128,105
21,0,59,127,102
22,0,56,130,94
23,0,55,135,90
24,0,56,132,102
25,0,58,133,103
26,0,56,135,97
27,0,60,138,93
28,0,65,134,99
29,0,71,134,94
30,0,67,136,92
31,0,67,136,102
32,0,73,136,99
33,0,73,140,92
34,0,76,135,97
35,0,75,133,100
36,0,70,139,93
37,0,69,141,94
38,0,74,138,96
39,0,76,137,96
40,0,78,134,99
41,0,75,135,99
42,0,76,135,97
43,0,86,129,103
44,0,83,128,106
45,0,81,128,110
46,0,84,128,109
47,0,84,129,107
48,0,89,126,109
49,0,96,126,109
50,0,95,125,106
51,0,89,127,105
52,0,89,126,96
53,0,94,123,98
54,0,93,121,105
55,0,97,120,106
56,0,97,121,102
57,0,96,119,105
58,0,101,118,108
59,0,106,113,111
60,0,112,112,112
61,0,115,113,107
62,0,112,113,108
63,0,112,110,111
64,0,114,108,105
65,0,113,107,104
66,0,121,102,108
67,0,127,98,108
68,0,126,97,107
69,0,123,99,107
70,0,125,96,106
71,0,130,94,106
72,0,130,94,106
73,0,134,93,107
74,0,135,91,106
75,0,135,89,105
76,0,138,90,106
77,0,139,86,104
78,0,141,80,107
79,0,137,80,106
80,0,135,84,101
81,0,134,83,100
82,0,132,81,105
83,0,129,82,105
84,0,134,82,106
85,0,138,79,106
86,0,132,82,99
87,0,132,78,101
88,0,134,78,104
89,0,132,78,99
90,0,132,76,99
91,0,128,72,109
92,0,129,71,106
93,0,124,73,95
94,0,121,75,93
95,0,117,72,97
96,0,111,73,97
97,0,112,70,100
98,0,112,68,99
99,0,105,69,97
100,0,99,68,94
101,0,98,69,94
102,0,95,69,98
103,0,94,68,90
104,0,94,68,88
105,0,90,68,89
106,0,89,64,91
107,0,88,63,87
108,0,83,63,90
109,0,76,64,95
110,0,78,61,96
111,0,78,59,93
112,0,73,58,91
113,0,71,59,93
114,0,64,58,94
115,0,61,59,89
116,0,57,56,93
117,0,56,58,87
118,0,53,57,78
119,0,49,56,81
0,1,37,122,93
1,1,37,124,94
2,1,43,128,97
3,1,43,134,94
4,1,38,141,81
5,1,41,140,77
6,1,39,139,82
7,1,37,139,88
8,1,46,134,96
9,1,49,135,95
10,1,50,138,88
11,1,54,137,89
12,1,53,136,88
13,1,53,136,88
14,1,53,138,91
15,1,50,138,86
16,1,49,136,89
17,1,50,137,94
18,1,54,133,95
19,1,53,129,94
20,1,55,128,94
21,1,53,131,96
22,1,54,132,87
23,1,57,132,91
24,1,56,133,98
25,1,60,135,94
26,1,64,137,94
27,1,57,140,89
28,1,55,143,90
29,1,64,140,92
30,1,67,137,86
31,1,67,138,94
32,1,69,140,98
33,1,69,142,90
34,1,73,139,94
35,1,76,137,96
36,1,74,139,92
37,1,77,136,98
38,1,80,137,97
39,1,79,137,99
40,1,81,133,104
41,1,77,136,100
42,1,76,137,98
43,1,84,131,104
44,1,88,131,103
45,1,85,131,100
46,1,83,131,101
47,1,89,128,99
48,1,89,128,99
49,1,89,129,102
50,1,91,125,109
51,1,89,126,107
52,1,92,127,95
53,1,95,125,97
54,1,100,122,101
55,1,103,122,104
56,1,103,121,106
57,1,102,120,107
58,1,105,115,110
59,1,105,115,112
60,1,110,113,110
61,1,111,112,105
62,1,112,111,103
63,1,120,108,108
64,1,120,109,104
65,1,117,107,101
66,1,122,104,105
67,1,125,105,103
68,1,127,103,107
69,1,130,102,107
70,1,136,99,105
71,1,137,94,108
72,1,136,92,107
73,1,142,91,108
74,1,140,92,108
75,1,136,90,106
76,1,138,90,106
77,1,142,92,106
78,1,141,88,104
79,1,144,86,106
80,1,140,85,104
81,1,138,84,104
82,1,140,80,109
83,1,132,80,107
84,1,132,81,103
85,1,136,79,107
86,1,131,81,107
87,1,125,81,101
88,1,130,78,105
89,1,131,81,98
90,1,127,81,97
91,1,128,76,102
92,1,130,73,101
93,1,131,72,99
94,1,127,71,99
95,1,122,72,98
96,1,118,74,96
97,1,116,71,97
98,1,115,69,98
99,1,112,71,96
100,1,106,72,97
101,1,102,69,94
102,1,98,69,94
103,1,97,65,92
104,1,97,65,94
105,1,93,66,91
106,1,92,65,90
107,1,92,64,94
108,1,89,65,85
109,1,81,67,83
110,1,77,65,87
111,1,73,66,82
112,1,76,66,85
113,1,69,63,86
114,1,65,61,85
115,1,63,59,83
116,1,57,59,88
117,1,53,57,90
118,1,56,56,88
119,1,52,56,84
0,2,35,116,96
1,2,38,122,96
2,2,44,126,94
3,2,45,132,89
4,2,43,141,83
5,2,42,146,81
6,2,41,147,84
7,2,45,142,89
8,2,41,140,93
9,2,43,140,89
10,2,49,138,81
11,2,54,137,91
12,2,54,136,97
13,2,50,138,97
14,2,50,138,99
15,2,54,137,93
16,2,50,136,87
17,2,52,134,93
18,2,58,131,100
19,2,58,130,95
20,2,54,132,89
21,2,51,133,89
22,2,56,133,94
23,2,58,134,99
24,2,56,134,101
25,2,59,135,100
26,2,61,139,94
27,2,65,142,91
28,2,66,142,96
29,2,69,142,97
30,2,66,143,90
31,2,69,143,93
32,2,69,143,95
33,2,65,144,90
34,2,71,145,95
35,2,73,145,95
36,2,73,143,92
37,2,79,137,97
38,2,81,140,99
39,2,78,141,101
40,2,82,137,107
41,2,82,138,105
42,2,81,136,106
43,2,85,133,105
44,2,83,137,98
45,2,83,134,101
46,2,85,133,105
47,2,87,132,103
48,2,88,133,97
49,2,91,131,97
50,2,96,127,103
51,2,99,125,105
52,2,95,126,102
53,2,93,128,98
54,2,104,124,101
55,2,100,123,104
56,2,97,122,107
57,2,108,120,102
58,2,112,117,104
59,2,111,114,111
60,2,114,115,108
61,2,114,116,106
62,2,115,113,109
63,2,122,110,112
64,2,128,110,107
65,2,127,110,104
66,2,125,104,105
67,2,127,104,105
68,2,125,106,108
69,2,129,103,110
70,2,137,99,110
71,2,144,96,108
72,2,142,95,109
73,2,141,96,107
74,2,144,95,105
75,2,145,92,105
76,2,147,89,108
77,2,148,88,108
78,2,147,89,108
79,2,142,89,107
80,2,147,87,107
81,2,145,84,105
82,2,140,85,102
83,2,134,88,104
84,2,134,86,102
85,2,136,82,107
86,2,132,82,108
87,2,132,83,106
88,2,137,78,105
89,2,136,80,101
90,2,134,80,103
91,2,133,79,104
92,2,135,76,103
93,2,139,73,97
94,2,135,71,97
95,2,127,73,100
96,2,123,73,97
97,2,124,72,99
98,2,120,71,95
99,2,118,74,96
100,2,111,73,97
101,2,107,72,95
102,2,107,70,101
103,2,103,70,95
104,2,101,66,87
105,2,98,67,91
106,2,94,67,92
107,2,95,67,99
108,2,90,67,93
109,2,82,68,85
110,2,80,67,87
111,2,71,64,94
112,2,69,64,93
113,2,71,63,84
114,2,68,62,85
115,2,64,62,87
116,2,56,62,85
117,2,52,62,86
118,2,56,59,83
119,2,50,58,78
0,3,37,114,88
1,3,35,119,91
2,3,43,122,95
3,3,46,130,90
