X,Y,R,G,B
4,3,49,136,89
5,3,44,142,86
6,3,42,145,85
7,3,48,141,89
8,3,51,140,96
9,3,44,141,90
10,3,45,141,86
11,3,52,136,94
12,3,53,134,98
13,3,52,136,96
14,3,47,137,89
15,3,50,138,90
16,3,55,135,92
17,3,53,134,98
18,3,58,133,101
19,3,60,135,98
20,3,59,136,94
21,3,62,135,92
22,3,64,137,94
23,3,62,136,97
24,3,60,137,95
25,3,61,139,92
26,3,62,141,92
27,3,69,140,96
28,3,71,142,93
29,3,67,146,92
30,3,66,148,95
31,3,71,148,95
32,3,70,147,93
33,3,71,147,89
34,3,75,147,96
35,3,75,146,102
36,3,74,147,104
37,3,78,148,97
38,3,83,144,101
39,3,83,142,102
40,3,76,142,101
41,3,74,143,97
42,3,84,142,92
43,3,88,139,92
44,3,82,140,95
45,3,81,137,102
46,3,84,137,103
47,3,89,133,104
48,3,93,135,101
49,3,95,136,95
50,3,97,130,98
51,3,102,126,106
52,3,102,126,104
53,3,100,127,104
54,3,104,129,105
55,3,103,128,103
56,3,107,124,102
57,3,114,120,97
58,3,115,118,101
59,3,114,115,108
60,3,116,114,110
61,3,120,114,109
62,3,125,110,115
63,3,125,110,115
64,3,126,110,113
65,3,132,105,114
66,3,135,105,108
67,3,138,104,104
68,3,135,105,104
69,3,135,106,102
70,3,138,101,107
71,3,146,97,107
72,3,148,96,109
73,3,143,98,109
74,3,146,97,107
75,3,151,95,107
76,3,150,90,111
77,3,155,87,113
78,3,154,87,109
79,3,145,88,107
80,3,147,89,108
81,3,147,88,99
82,3,145,88,103
83,3,141,88,104
84,3,139,86,100
85,3,141,83,102
86,3,138,82,103
87,3,138,82,105
88,3,138,80,102
89,3,136,83,103
90,3,141,79,109
91,3,136,77,102
92,3,131,81,98
93,3,136,79,96
94,3,140,75,97
95,3,134,76,97
96,3,134,74,104
97,3,135,75,97
98,3,133,73,93
99,3,124,74,91
100,3,116,72,91
101,3,114,73,91
102,3,107,73,89
103,3,107,70,87
104,3,101,68,90
105,3,94,70,89
106,3,95,69,87
107,3,96,66,96
108,3,85,63,98
109,3,78,68,89
110,3,80,67,91
111,3,77,64,91
112,3,75,64,88
113,3,73,62,89
114,3,68,63,90
115,3,66,62,87
116,3,60,64,85
117,3,56,62,83
118,3,55,59,76
119,3,55,59,76
0,4,41,112,90
1,4,34,116,88
2,4,39,118,94
3,4,45,125,98
4,4,49,130,93
5,4,51,132,94
6,4,47,139,90
7,4,48,141,89
8,4,53,137,93
9,4,51,138,93
10,4,53,137,97
11,4,53,135,96
12,4,50,137,94
13,4,52,136,94
14,4,55,135,92
15,4,55,135,90
16,4,53,135,94
17,4,53,136,101
18,4,59,135,102
19,4,60,134,100
20,4,63,136,93
21,4,65,135,95
22,4,66,134,97
23,4,67,135,96
24,4,67,138,92
25,4,62,142,83
26,4,65,144,92
27,4,71,142,97
28,4,72,143,94
29,4,72,142,100
30,4,74,147,92
31,4,72,150,92
32,4,76,149,95
33,4,75,148,94
34,4,72,151,99
35,4,73,149,105
36,4,72,149,96
37,4,76,151,96
38,4,79,147,106
39,4,78,146,105
40,4,78,147,99
41,4,76,149,95
42,4,84,146,91
43,4,91,140,94
44,4,88,138,97
45,4,90,137,99
46,4,90,138,95
47,4,93,136,99
48,4,96,133,103
49,4,97,132,99
50,4,100,129,103
51,4,101,130,107
52,4,106,130,106
53,4,104,128,107
54,4,105,126,107
55,4,111,125,107
56,4,114,123,111
57,4,117,122,107
58,4,118,120,103
59,4,119,119,105
60,4,124,115,114
61,4,126,113,110
62,4,129,110,114
63,4,132,109,112
64,4,132,108,116
65,4,138,107,118
66,4,140,105,114
67,4,141,103,111
68,4,142,103,109
69,4,144,104,108
70,4,143,100,112
71,4,144,99,112
72,4,149,96,114
73,4,150,95,109
74,4,148,93,112
75,4,149,91,109
76,4,150,91,109
77,4,154,89,111
78,4,156,86,109
79,4,157,87,111
80,4,154,87,109
81,4,154,89,109
82,4,148,88,106
83,4,145,88,107
84,4,144,86,106
85,4,141,86,103
86,4,142,84,104
87,4,145,82,104
88,4,143,83,104
89,4,141,83,102
90,4,144,79,105
91,4,142,79,100
92,4,137,81,100
93,4,142,79,98
94,4,144,75,92
95,4,142,75,98
96,4,151,76,101
97,4,157,73,99
98,4,146,74,96
99,4,131,73,95
100,4,123,74,93
101,4,114,75,88
102,4,111,75,87
103,4,111,72,87
104,4,103,70,95
105,4,97,71,92
106,4,91,73,86
107,4,97,65,92
108,4,90,68,91
109,4,84,69,90
110,4,81,68,93
111,4,75,67,90
112,4,71,65,90
113,4,75,64,88
114,4,73,63,87
115,4,68,62,87
116,4,66,62,87
117,4,64,62,83
118,4,60,59,80
119,4,59,57,81
0,5,47,108,97
1,5,40,115,90
2,5,44,118,93
3,5,47,122,97
4,5,47,127,98
5,5,51,129,98
6,5,50,134,97
7,5,48,139,86
8,5,47,140,86
9,5,46,138,91
10,5,53,133,87
11,5,55,132,93
12,5,50,135,91
13,5,56,133,94
14,5,58,130,97
15,5,57,131,97
16,5,60,131,100
17,5,56,133,98
18,5,56,132,100
19,5,60,134,102
20,5,62,135,101
21,5,61,139,94
22,5,62,140,94
23,5,67,139,99
24,5,65,143,94
25,5,65,145,86
26,5,66,143,92
27,5,71,142,97
28,5,72,143,98
29,5,77,143,103
30,5,79,143,97
31,5,75,147,100
32,5,72,149,98
33,5,73,152,100
34,5,73,151,102
35,5,76,152,103
36,5,74,154,97
37,5,77,153,91
38,5,80,150,97
39,5,81,151,102
40,5,80,150,99
41,5,81,149,94
42,5,86,147,90
43,5,91,145,97
44,5,91,144,101
45,5,94,145,100
46,5,97,140,96
47,5,97,138,95
48,5,102,135,101
49,5,103,135,97
50,5,104,132,98
51,5,106,130,104
52,5,109,133,100
53,5,108,134,100
54,5,108,131,105
55,5,113,128,107
56,5,117,123,110
57,5,118,124,102
58,5,121,122,104
59,5,125,120,108
60,5,127,116,111
61,5,131,113,113
62,5,132,112,109
63,5,137,109,114
64,5,134,107,116
65,5,137,105,118
66,5,144,102,118
67,5,147,101,116
68,5,148,101,112
69,5,147,102,112
70,5,142,102,111
71,5,141,102,106
72,5,150,99,107
73,5,157,95,109
74,5,152,96,106
75,5,152,98,107
76,5,156,94,108
77,5,156,92,109
78,5,155,90,110
79,5,160,88,110
80,5,156,87,103
81,5,147,90,104
82,5,147,87,105
83,5,149,86,107
84,5,145,88,107
85,5,143,87,106
86,5,146,85,99
87,5,148,84,101
88,5,144,81,104
89,5,148,84,101
90,5,154,80,101
91,5,147,81,96
92,5,142,80,96
93,5,144,79,101
94,5,144,79,103
95,5,163,77,106
96,5,172,77,100
97,5,174,75,95
98,5,153,72,95
99,5,135,71,97
100,5,123,75,91
101,5,118,75,90
102,5,114,72,93
103,5,110,73,90
104,5,107,71,99
105,5,102,71,95
106,5,93,73,86
107,5,92,71,87
108,5,88,72,86
109,5,84,70,86
110,5,82,68,85
111,5,82,68,85
112,5,86,66,91
113,5,83,63,88
114,5,76,65,89
115,5,70,61,87
116,5,70,60,89
117,5,65,62,83
118,5,63,60,79
119,5,56,57,78
0,6,47,110,88
1,6,42,114,90
2,6,46,116,90
3,6,50,117,94
4,6,47,122,97
5,6,51,126,96
6,6,55,129,92
7,6,54,134,91
8,6,50,135,91
9,6,49,136,89
10,6,49,137,85
11,6,54,137,91
12,6,56,134,92
13,6,56,134,90
14,6,58,131,89
15,6,60,133,90
16,6,61,131,92
17,6,61,131,94
18,6,64,133,96
19,6,62,136,97
20,6,62,136,99
21,6,68,140,93
22,6,67,141,91
23,6,65,143,96
24,6,69,144,98
25,6,68,148,89
26,6,68,149,83
27,6,70,147,89
28,6,69,145,94
29,6,72,146,99
30,6,78,145,100
31,6,74,148,98
32,6,72,151,95
33,6,72,153,89
34,6,73,152,100
35,6,79,150,101
36,6,76,152,92
37,6,79,152,91
38,6,81,154,99
39,6,81,154,95
40,6,83,154,93
41,6,86,150,96
42,6,89,151,93
43,6,93,146,98
44,6,95,143,95
45,6,91,147,94
46,6,96,145,92
47,6,99,144,92
48,6,99,140,99
49,6,103,138,103
50,6,107,136,101
51,6,113,131,104
52,6,111,133,98
53,6,112,134,97
54,6,115,131,103
55,6,115,132,101
56,6,117,125,102
57,6,121,124,105
58,6,123,124,103
59,6,126,120,102
60,6,127,117,107
61,6,132,112,109
62,6,133,114,107
63,6,138,111,111
64,6,136,111,111
65,6,137,109,114
66,6,143,105,116
67,6,145,104,118
68,6,145,103,112
69,6,148,104,105
70,6,146,101,107
71,6,152,100,110
72,6,154,101,107
73,6,155,96,107
74,6,155,98,108
75,6,152,97,104
76,6,158,92,105
77,6,159,93,106
78,6,154,93,105
79,6,158,87,109
80,6,157,88,105
81,6,154,88,103
82,6,156,86,109
83,6,153,87,109
84,6,150,87,108
85,6,152,84,109
86,6,152,84,107
87,6,150,86,101
88,6,151,83,106
89,6,153,84,103
90,6,155,84,101
91,6,148,82,98
92,6,145,83,102
93,6,143,84,102
94,6,141,83,102
95,6,173,80,103
96,6,181,78,92
97,6,165,80,97
98,6,144,77,97
99,6,130,74,93
100,6,120,76,91
101,6,115,76,92
102,6,114,75,90
103,6,110,76,89
104,6,110,72,98
105,6,106,71,90
106,6,97,73,86
107,6,93,72,90
108,6,89,73,85
109,6,89,71,86
110,6,90,69,85
111,6,87,68,86
112,6,90,64,89
113,6,85,62,92
114,6,74,68,90
115,6,70,66,88
116,6,71,62,88
117,6,66,63,82
118,6,65,63,75
119,6,62,58,82
0,7,48,114,83
1,7,49,114,90
2,7,54,115,94
3,7,52,117,95
4,7,49,119,95
5,7,51,124,95
6,7,54,124,96
7,7,58,124,99
8,7,56,129,98
9,7,54,131,91
10,7,54,133,93
11,7,53,135,94
12,7,57,132,91
13,7,58,133,90
14,7,60,133,90
15,7,60,131,89
16,7,60,130,91
17,7,62,132,95
18,7,67,132,94
19,7,65,135,93
20,7,62,137,91
21,7,70,139,91
22,7,68,141,87
23,7,67,141,89
24,7,76,144,91
25,7,74,150,88
26,7,70,152,84
27,7,69,150,88
28,7,69,151,94
29,7,72,151,95
30,7,76,149,93
31,7,75,149,99
32,7,73,151,91
33,7,76,151,83
34,7,81,148,96
35,7,84,146,98
36,7,82,148,92
37,7,81,152,98
38,7,80,152,100
39,7,84,153,93
40,7,89,153,95
41,7,89,150,95
42,7,91,149,95
43,7,97,144,96
44,7,100,144,97
45,7,97,147,93
46,7,95,147,93
47,7,96,145,94
48,7,97,144,94
49,7,105,141,101
50,7,107,140,104
51,7,107,137,106
52,7,111,138,101
53,7,112,134,97
54,7,111,130,101
55,7,117,130,96
56,7,123,128,97
57,7,121,124,107
58,7,124,124,108
59,7,127,121,103
60,7,129,121,103
61,7,132,120,108
62,7,135,120,111
63,7,135,116,109
64,7,136,115,104
65,7,141,113,100
66,7,147,110,102
67,7,147,106,107
68,7,149,103,107
69,7,153,102,107
70,7,153,101,109
71,7,156,100,107
72,7,155,99,106
73,7,156,97,110
74,7,156,98,108
75,7,157,94,102
76,7,165,92,103
77,7,158,95,107
78,7,157,94,104
79,7,164,90,108
80,7,161,88,104
81,7,157,86,105
82,7,160,85,111
83,7,160,85,111
84,7,156,87,103
85,7,155,86,102
86,7,151,87,102
87,7,156,85,102
88,7,155,83,105
89,7,149,85,102
90,7,147,86,98
91,7,143,84,102
92,7,145,82,104
93,7,142,84,102
94,7,143,86,101
95,7,171,82,98
96,7,179,78,96
97,7,144,80,95
98,7,130,80,97
99,7,128,77,96
100,7,122,77,92
101,7,120,74,92
102,7,117,73,95
103,7,113,74,87
104,7,110,72,94
105,7,108,73,96
106,7,104,74,91
107,7,99,74,87
108,7,91,73,86
109,7,92,69,88
110,7,97,69,87
111,7,86,69,93
112,7,82,67,93
113,7,79,65,90
114,7,74,66,89
115,7,70,65,83
116,7,69,64,84
117,7,72,62,86
118,7,68,60,81
119,7,63,59,81
0,8,48,113,89
1,8,50,115,93
2,8,48,115,97
3,8,51,116,96
4,8,60,115,99
5,8,56,119,98
6,8,54,122,97
7,8,57,122,98
8,8,55,124,96
9,8,57,126,89
10,8,59,128,96
11,8,59,128,98
12,8,61,128,91
13,8,57,131,93
14,8,55,134,96
15,8,64,131,95
16,8,70,128,95
17,8,61,131,96
18,8,61,133,97
19,8,68,133,99
20,8,66,137,92
21,8,70,137,92
22,8,71,139,98
23,8,69,144,91
24,8,71,146,91
25,8,74,150,88
26,8,74,154,84
27,8,74,156,87
28,8,73,153,92
29,8,72,156,91
30,8,76,158,89
31,8,76,158,91
32,8,76,154,93
33,8,79,153,89
34,8,83,152,92
35,8,86,150,94
36,8,87,152,89
37,8,86,151,99
38,8,83,152,92
39,8,87,153,87
40,8,87,151,97
41,8,87,152,91
42,8,92,152,89
43,8,107,147,97
44,8,107,146,99
45,8,100,147,95
46,8,98,150,96
47,8,98,148,95
48,8,106,144,95
49,8,108,140,97
50,8,101,142,96
51,8,102,141,100
52,8,110,139,99
53,8,109,137,93
54,8,114,131,100
55,8,117,131,101
56,8,121,131,100
57,8,123,128,97
58,8,123,127,103
59,8,125,125,102
60,8,129,124,94
61,8,133,124,97
62,8,133,120,106
63,8,138,117,108
64,8,139,115,105
65,8,143,114,101
66,8,147,112,101
67,8,148,110,105
68,8,152,106,110
69,8,155,104,110
70,8,155,104,108
71,8,151,103,105
72,8,152,100,108
73,8,157,96,105
74,8,158,97,106
75,8,158,94,109
76,8,160,94,107
77,8,154,96,100
78,8,151,97,104
79,8,157,96,105
80,8,164,91,102
81,8,160,87,103
82,8,157,85,107
83,8,154,89,109
84,8,155,92,102
85,8,157,89,103
86,8,155,86,102
87,8,155,86,100
88,8,155,85,106
89,8,150,85,107
90,8,143,88,102
91,8,142,84,104
92,8,142,84,104
93,8,138,84,106
94,8,139,86,102
95,8,156,85,100
96,8,154,80,103
97,8,136,80,99
98,8,127,79,97
99,8,127,75,99
100,8,122,77,92
101,8,118,77,93
102,8,121,74,97
103,8,120,74,90
104,8,114,73,87
105,8,108,74,90
106,8,105,76,86
107,8,108,75,86
108,8,101,70,90
109,8,99,70,94
110,8,96,71,88
111,8,89,70,90
112,8,85,68,88
113,8,79,70,83
114,8,73,71,85
115,8,78,69,83
116,8,73,67,85
117,8,70,65,85
118,8,66,64,78
119,8,65,62,81
0,9,43,113,90
1,9,41,116,93
2,9,42,118,97
3,9,48,118,94
4,9,58,116,97
5,9,55,118,97
6,9,55,120,98
7,9,54,123,93
8,9,59,122,96
9,9,65,125,96
10,9,65,125,91
11,9,61,128,94
12,9,63,131,92
13,9,60,129,95
14,9,55,132,93
15,9,60,131,96
16,9,64,131,97
17,9,58,134,97
18,9,62,134,96
19,9,67,132,96
20,9,66,137,92
21,9,64,140,90
22,9,65,142,91
23,9,71,143,91
24,9,73,144,99
25,9,74,148,98
26,9,78,150,96
27,9,81,154,95
28,9,78,155,90
29,9,74,155,89
30,9,76,158,89
31,9,79,162,84
32,9,79,157,87
33,9,78,157,89
34,9,82,157,87
35,9,85,156,87
36,9,79,157,85
37,9,80,153,94
38,9,86,150,94
39,9,89,151,89
40,9,89,153,93
41,9,91,153,96
42,9,92,151,95
43,9,99,149,94
44,9,100,147,97
45,9,98,150,96
46,9,97,153,91
47,9,97,153,93
48,9,106,146,92
49,9,111,142,93
50,9,105,144,97
51,9,108,141,105
52,9,114,140,106
53,9,111,140,99
54,9,112,136,100
55,9,115,136,101
56,9,117,134,96
57,9,123,133,95
58,9,125,130,94
59,9,123,128,97
60,9,127,127,95
61,9,130,125,97
62,9,135,119,104
63,9,140,116,108
64,9,140,114,107
65,9,145,113,101
66,9,149,112,104
67,9,149,112,106
68,9,151,109,105
69,9,152,105,103
70,9,154,103,107
71,9,154,102,113
72,9,154,101,105
73,9,159,100,99
74,9,158,97,106
75,9,155,96,109
76,9,154,95,106
77,9,154,97,98
78,9,152,97,100
79,9,154,96,104
80,9,159,94,102
81,9,159,91,103
82,9,155,89,105
83,9,151,88,109
84,9,154,89,107
85,9,157,86,105
86,9,157,85,109
87,9,151,86,108
88,9,149,86,105
89,9,145,85,103
90,9,143,84,102
91,9,143,83,104
92,9,139,83,106
93,9,133,85,101
94,9,136,85,102
95,9,138,83,99
96,9,134,83,100
97,9,131,83,99
98,9,129,80,97
99,9,129,76,96
100,9,129,77,92
101,9,128,75,93
102,9,125,75,92
103,9,122,77,92
104,9,123,75,91
105,9,114,75,88
106,9,106,77,91
107,9,104,77,86
108,9,107,73,87
109,9,100,71,97
110,9,97,72,90
111,9,89,71,86
112,9,84,70,86
113,9,85,72,83
114,9,79,71,79
115,9,77,67,77
116,9,76,66,83
117,9,75,65,84
118,9,74,61,84
119,9,68,60,85
0,10,47,115,92
1,10,46,116,92
2,10,44,116,96
3,10,54,119,95
4,10,59,120,93
5,10,54,120,91
6,10,54,119,97
7,10,58,118,98
8,10,62,120,96
9,10,62,120,96
10,10,62,126,100
11,10,58,130,95
12,10,56,130,94
13,10,63,127,97
14,10,69,128,101
15,10,61,132,99
16,10,55,134,96
17,10,62,135,94
18,10,63,138,85
19,10,64,140,82
20,10,68,140,89
21,10,69,140,98
22,10,66,144,88
23,10,72,142,91
24,10,76,142,99
25,10,70,151,92
26,10,75,150,91
27,10,73,153,94
28,10,77,155,92
29,10,85,156,96
30,10,84,156,91
31,10,83,160,82
32,10,81,163,90
33,10,79,161,86
34,10,83,162,83
35,10,81,161,89
36,10,79,160,92
37,10,84,156,91
38,10,85,155,93
39,10,85,154,97
40,10,88,154,100
41,10,95,151,96
42,10,95,149,87
43,10,100,147,93
44,10,98,147,97
45,10,97,148,97
46,10,101,149,94
47,10,98,151,90
48,10,101,149,90
49,10,109,142,93
50,10,109,142,93
51,10,108,142,97
52,10,106,143,99
53,10,108,141,95
54,10,113,138,97
55,10,119,137,97
56,10,122,135,99
57,10,126,134,100
58,10,124,133,93
59,10,123,128,97
60,10,128,126,99
61,10,136,124,100
62,10,141,120,106
63,10,144,116,109
64,10,143,117,105
65,10,146,115,94
66,10,147,116,97
67,10,151,113,103
68,10,154,112,101
69,10,156,110,96
70,10,156,106,105
71,10,154,102,111
72,10,159,101,107
73,10,163,100,108
74,10,160,100,107
75,10,155,98,112
76,10,158,95,116
77,10,156,98,106
78,10,154,98,103
79,10,154,95,108
80,10,156,94,108
81,10,156,95,104
82,10,153,94,107
83,10,150,91,105
84,10,151,89,107
85,10,149,89,109
86,10,150,91,109
87,10,150,88,102
88,10,147,88,99
89,10,145,89,99
90,10,146,87,98
91,10,143,86,103
92,10,141,86,105
93,10,142,84,102
94,10,143,81,99
95,10,142,80,94
96,10,134,81,99
97,10,128,82,98
98,10,130,82,98
99,10,134,79,98
100,10,135,78,91
101,10,134,76,93
102,10,131,76,90
103,10,127,76,93
104,10,124,73,93
105,10,122,73,92
106,10,108,74,90
107,10,103,74,84
108,10,108,75,86
109,10,106,70,94
110,10,99,69,86
111,10,98,68,85
112,10,92,68,94
113,10,90,68,91
114,10,89,66,83
115,10,81,67,83
116,10,79,66,88
117,10,77,65,85
118,10,73,65,84
119,10,72,62,82
0,11,48,113,91
1,11,49,114,92
2,11,51,116,94
3,11,56,117,91
4,11,58,117,95
5,11,61,120,91
6,11,61,119,95
7,11,65,118,100
8,11,65,120,101
9,11,63,123,102
10,11,65,123,104
11,11,55,128,98
12,11,57,129,96
13,11,66,128,96
14,11,70,129,102
15,11,66,130,99
16,11,60,135,96
17,11,65,135,93
18,11,67,140,83
19,11,65,146,80
20,11,69,144,89
21,11,74,140,97
22,11,73,143,94
23,11,74,143,97
24,11,74,147,88
25,11,75,150,82
26,11,72,151,84
27,11,73,151,91
28,11,74,154,93
29,11,76,158,91
30,11,85,158,88
31,11,86,159,87
32,11,81,160,97
33,11,80,162,89
34,11,84,163,84
35,11,86,161,92
36,11,83,159,97
37,11,89,159,90
38,11,90,159,90
39,11,91,155,97
40,11,93,153,94
41,11,94,155,87
42,11,98,154,92
43,11,100,150,97
44,11,95,149,97
45,11,95,149,97
46,11,100,147,93
47,11,104,150,91
48,11,102,150,95
49,11,106,146,94
50,11,115,144,89
51,11,119,145,95
52,11,112,144,101
53,11,113,143,101
54,11,114,142,96
55,11,118,139,96
56,11,123,138,92
57,11,124,135,95
58,11,124,134,101
59,11,125,130,98
60,11,128,126,99
61,11,135,125,106
62,11,142,122,104
63,11,142,120,104
64,11,141,121,102
65,11,147,119,94
66,11,151,119,95
67,11,155,115,96
68,11,154,111,96
69,11,160,112,98
70,11,159,108,100
71,11,156,106,105
72,11,161,101,106
73,11,163,103,107
74,11,161,102,104
75,11,155,103,103
76,11,156,100,105
